ç
Nome,Designação,Bairro,Artes Cênicas,Artes Industriais,Artes Plasticas,Ciências,Educação Física,Educação Musical,Educação Para O Lar,Espanhol,Francês,Geografia,História,Inglês,Língua Portuguesa,Matemática,Técnicas Agrícolas,Técnicas Comerciais,Educação Infantil,Ensino Fundamental,Ensino Religioso,Professor II,Séries Atendidas,Latitude,Longitude
VICENTE LICINIO CARDOSO,"0101001",Praça Mauá,0,0,6,4,3,1,0,0,0,1,2,1,6,2,0,0,0,3,0,9,7º Ano/8º Ano/9º Ano/Classe Especial,"-22.8965024081823","-43.1833342798741"
DARCY VARGAS,"0101003",Saúde,0,0,0,0,7,0,0,0,1,1,0,2,1,0,0,0,0,16,2,9,1º Ano/2º Ano/3º Ano/4º Ano/4º Ano - NCM/5º Ano/6º Ano,"-22.8952543933011","-43.1889073896085"
BENJAMIN CONSTANT,"0101004",Santo Cristo,2,0,0,2,8,1,0,2,0,3,3,2,4,4,0,0,0,2,0,19,1º Ano/2º Ano/3º Ano/4º Ano/4º Ano - NCM/5º Ano/6º Ano/7º Ano/7º Ano - NJM/8º Ano/9º Ano/Aceleração 1/Aceleração 2A/Aceleração 3/Pré-Escola/Realfabetização 1,"-22.8994848092641","-43.2051057882848"
GENERAL MITRE,"0101005",Santo Cristo,0,0,2,0,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,17,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano/6º Ano/Pré-Escola,"-22.9046035414875","-43.2027793311909"
FRANCISCO BENJAMIM GALLOTI,"0101006",Santo Cristo,0,0,2,0,3,1,0,0,0,0,0,1,0,0,0,0,0,1,0,16,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano/6º Ano/Pré-Escola,"-22.9008675975287","-43.1994643825732"
MARECHAL MASCARENHAS DE MORAES,"0101007",Caju,2,0,0,5,4,0,0,3,0,3,6,3,7,5,0,0,0,2,0,0,6º Ano/7º Ano/7º Ano - NJM/8º Ano/9º Ano,"-22.8767076487293","-43.2160475038719"
MARECHAL ESPERIDIAO ROSAS,"0101008",Caju,2,0,2,0,6,0,0,0,0,0,0,2,0,0,0,0,0,1,0,22,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano,"-22.8795297221773","-43.2178568299511"
PROFESSOR WALTER CARLOS DE MAGALHÃES FRAENKEL,"0101009",Caju,0,0,2,4,3,0,0,2,0,4,6,2,5,2,0,0,0,4,0,2,6º Ano/7º Ano/7º Ano - NJM/8º Ano/9º Ano/Aceleração 3/Realfabetização 2,"-22.8779363645307","-43.2236871770444"
FÉLIX MIELLI VENERANDO,"0101011",Caju,0,0,1,2,9,0,0,0,0,0,0,2,0,2,0,0,0,1,0,3,6º Ano/7º Ano/8º Ano,"-22.876540","-43.230541"
HENFIL,"0101501",Caju,0,0,5,1,6,0,0,0,0,0,2,4,1,1,0,0,0,7,0,33,1º Ano/2º Ano/3º Ano/4º Ano/4º Ano - NCM/5º Ano/6º Ano/Aceleração 1/Aceleração 2A/Classe Especial/PEJA I - Bloco 1/PEJA I - Bloco 2/PEJA II - Bloco 1/PEJA II - Bloco 2/Pré-Escola/Realfabetização 1,"-22.8761248874879","-43.2184480696528"
LADEIRA DOS FUNCIONÁRIOS,"0101601",Caju,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,Creche,"-22.8786652692299","-43.2239327571972"
VIRGÍNIA LEMOS,"0101602",Caju,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,Creche,"-22.8859377631083","-43.2328386543882"
SENNINHA,"0101603",Caju,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,Creche/PIC,"-22.8825038161915","-43.2283221619169"
SEMPRE VIDA P. CONQUISTA,"0101604",Caju,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,Creche,"-22.8773485823905","-43.226045020405"
CLEMENTE FERREIRA,"0101605",Caju,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,Creche,"-22.8755287153745","-43.2223620631828"
QUINTA DO CAJU,"0101606",Caju,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,2,Creche,"-22.874832784984","-43.2112506076401"
TIA DORA,"0101607",Santo Cristo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,2,Creche,"-22.8976220809546","-43.197150419562"
PARQUE DA ALEGRIA,"0101801",Caju,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,Creche/Pré-Escola,"-22.8840085470695","-43.2306061199401"
MACHADO DE ASSIS,"0101802",Santo Cristo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,2,Creche/Pré-Escola,"-22.9015169563706","-43.2002747628544"
ANTÔNIO RAPOSO TAVARES,"0101803",Gamboa,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,Creche/Pré-Escola,"-22.8956674","-43.1943245"
PROFESSORA LAURA SYLVIA MENDES PEREIRA,"0101804",Caju,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,Pré-Escola,"-22.9035393","-43.2095869"
CELESTINO DA SILVA,"0102001",Centro,0,0,1,4,4,0,0,1,0,1,2,2,6,4,0,0,0,6,0,5,4º Ano/4º Ano - NCM/5º Ano/6º Ano/7º Ano/7º Ano - NJM/8º Ano/9º Ano/Aceleração 2A,"-22.9088075074484","-43.1832054817712"
