ç
Bairro,Total,Latitude,Longitude
Abolição,207,"-22.888002","-43.2992789"
Acari,1251,"-22.8216667","-43.34055559999999"
Alto da Boa Vista,486,"-22.962984","-43.262019"
Anchieta,3507,"-22.8211111","-43.3958333"
Anil,4413,"-22.9544444","-43.34"
Bancários,831,"-22.7959138","-43.175927"
Bangu,15242,"-22.883333","-43.466667"
Barra da Tijuca,4287,"-23","-43.3658333"
Barra de Guaratiba,610,"-23.0666667","-43.5666667"
Barros Filho,112,"-22.8333333","-43.3666667"
Benfica,1302,"-22.8925","-43.23999999999999"
Bento Ribeiro,869,"-22.8672222","-43.3608333"
Bonsucesso,5842,"-22.8630556","-43.2530556"
Botafogo,812,"-22.95334","-43.19"
Cachambi,1436,"-22.8833333","-43.2833333"
Caju,2114,"-22.88","-43.2205556"
Camorim,1062,"-22.9658333","-43.43888889999999"
Campinho,499,"-22.8858333","-43.3475"
Campo Grande,22798,"-22.8825","-43.5625"
Cascadura,2187,"-22.8853305","-43.3318801"
Catete,180,"-22.9261111","-43.1791667"
Catumbi,830,"-22.9180556","-43.1969444"
Cavalcanti,1685,"-22.8711111","-43.3166667"
Centro,1804,"-22.9088923","-43.1771378"
Cidade Nova,824,"-22.91","-43.2025"
Cidade Universitária,201,"-22.85","-43.2333333"
Cidade de Deus,3500,"-22.9483194","-43.3632472"
Cocotá,287,"-22.803838","-43.1807701"
Coelho Neto,2005,"-22.8305556","-43.3505556"
Colégio,1281,"-22.8407774","-43.34032879999999"
Copacabana,2230,"-22.9670333","-43.1806972"
Cordovil,2667,"-22.8220987","-43.2932393"
Cosme Velho,95,"-22.9411099","-43.201011"
Cosmos,4065,"-22.9166667","-43.6166667"
Costa Barros,1443,"-22.8238533","-43.369285"
Curicica,3542,"-22.95305","-43.385805"
Del Castilho,1806,"-22.8779276","-43.2690736"
Deodoro,781,"-22.855","-43.3852778"
Encantado,332,"-22.8958333","-43.3022222"
Engenho Novo,972,"-22.9086111","-43.2675"
Engenho da Rainha,1889,"-22.8602414","-43.2932393"
Engenho de Dentro,2218,"-22.9","-43.3"
Estácio,434,"-22.9166667","-43.2"
Flamengo,197,"-22.9335","-43.17447"
Freguesia (Jacarepaguá),2066,"-22.9250244","-43.3342942"
Galeão,1264,"-22.8091667","-43.2380556"
Gardênia Azul,717,"-22.9666667","-43.35"
Glória,552,"-22.9208333","-43.1736111"
Guadalupe,3647,"-22.8372222","-43.3752778"
Guaratiba,6545,"-22.9984858","-43.5799151"
Gávea,1337,"-22.9831271","-43.2400595"
Higienópolis,2523,"-22.8736111","-43.26277779999999"
Honório Gurgel,1036,"-22.8469844","-43.357222"
Humaitá,532,"-22.956457","-43.202963"
Inhoaíba,4379,"-22.9127679","-43.5943255"
Ipanema,847,"-22.9838194","-43.2045278"
Irajá,7301,"-22.8311111","-43.3236111"
Itanhangá,804,"-22.9869444","-43.30500000000001"
Jacarezinho,458,"-22.8869444","-43.2602778"
Jacaré,672,"-22.8916667","-43.2572222"
Jardim Botânico,523,"-22.9666667","-43.2166667"
Jardim Carioca,568,"-22.8","-43.2"
Jardim Guanabara,943,"-22.8116667","-43.2036111"
Jardim Sulacap,991,"-22.8958865","-43.3921967"
Lagoa,409,"-22.97633","-43.20966"
Laranjeiras,913,"-22.9378","-43.1910"
Leblon,1737,"-22.9835611","-43.2221611"
Leme,361,"-22.9622222","-43.1666667"
Lins de Vasconcelos,1943,"-22.9133333","-43.2847222"
Madureira,1833,"-22.8741673","-43.3367082"
Magalhães Bastos,1650,"-22.871868","-43.4138928"
Mangueira,169,"-22.9036111","-43.2388889"
Manguinhos,1808,"-22.8791667","-43.2458333"
Maracanã,655,"-22.9096786","-43.2313351"
Marechal Hermes,2316,"-22.8666667","-43.3666667"
Maria da Graça,675,"-22.8833333","-43.26666669999999"
Maré,7611,"-22.8588889","-43.2430556"
Moneró,1189,"-22.7957684","-43.197717"
Olaria,4174,"-22.8488889","-43.26666669999999"
Oswaldo Cruz,1842,"-22.8740377","-43.3511894"
Paciência,8578,"-22.89914","-43.632318"
Padre Miguel,5261,"-22.8833333","-43.45"
Paquetá,267,"-22.7597222","-43.1088889"
Parada de Lucas,716,"-22.8166667","-43.3"
Parque Anchieta,1852,"-22.8333333","-43.41666670000001"
Parque Colúmbia,515,"-22.8137544","-43.3427425"
Pavuna,7926,"-22.8136111","-43.3602778"
Pechincha,1019,"-22.9295821","-43.35601550000001"
Pedra de Guaratiba,4848,"-23","-43.6333333"
Penha,3952,"-22.8369444","-43.2777778"
Penha Circular,1776,"-22.8352778","-43.2858333"
Piedade,2089,"-22.8930556","-43.3125"
Pilares,1368,"-22.8776825","-43.2980711"
Pitangueiras,302,"-22.8181592","-43.1807701"
Portuguesa,642,"-22.7988923","-43.20618839999999"
Praia da Bandeira,366,"-22.8106048","-43.1801647"
Praça Seca,3154,"-22.9","-43.35"
Praça da Bandeira,398,"-22.9102021","-43.2122385"
Ramos,2688,"-22.8480556","-43.25777780000001"
Realengo,9574,"-22.8833333","-43.4333333"
Recreio dos Bandeirantes,1040,"-23.019581","-43.479233"
Riachuelo,534,"-22.9027778","-43.2555556"
Ricardo de Albuquerque,1078,"-22.8324064","-43.38978540000001"
Rio Comprido,1675,"-22.9261203","-43.2110285"
Rocha,938,"-22.8986111","-43.2497222"
Rocha Miranda,3637,"-22.85","-43.35"
Rocinha,1024,"-22.9886111","-43.2466667"
Sampaio,20,"-22.9008333","-43.2605556"
Santa Cruz,20625,"-22.9202778","-43.685"
Santa Teresa,873,"-22.9452106","-43.2110285"
Santo Cristo,992,"-22.9008333","-43.205"
Santíssimo,2664,"-22.883333","-43.516667"
Saúde,207,"-22.8976866","-43.1856126"
Senador Camará,5838,"-22.8666667","-43.5"
Senador Vasconcelos,1142,"-22.9","-43.5333333"
Sepetiba,3647,"-22.966667","-43.7"
São Conrado,544,"-23","-43.26666669999999"
Tanque,859,"-22.9161111","-43.3558333"
Taquara,7410,"-22.9222222","-43.3880556"
Tauá,465,"-22.7975","-43.18555560000001"
Tijuca,4335,"-22.9306453","-43.2400595"
Todos os Santos,252,"-22.8952778","-43.285"
Tomás Coelho,242,"-22.8688697","-43.3065255"
Turiaçu,737,"-22.8613889","-43.3438889"
Urca,797,"-22.9547694","-43.16655830000001"
Vargem Grande,1459,"-22.9761111","-43.4941667"
Vargem Pequena,1122,"-22.9805556","-43.4636111"
Vicente de Carvalho,606,"-22.8569444","-43.3172222"
Vidigal,672,"-22.993663","-43.242486"
Vigário Geral,2032,"-22.8075","-43.3102778"
Vila Isabel,2432,"-22.9166667","-43.25"
Vila Kosmos,1074,"-22.8536111","-43.3036111"
Vila Militar,359,"-22.865","-43.4027778"
Vila Valqueire,1271,"-22.8833333","-43.3666667"
Vila da Penha,1475,"-22.8441891","-43.3125635"
Vista Alegre,937,"-22.8308333","-43.31611110000001"
Zumbi,428,"-22.8211111","-43.1755556"
Água Santa,832,"-22.9122222","-43.3102778"

