ç
Bairro,Total,Latitude,Longitude
Abolição,279,"-22.888002","-43.2992789"
Acari,2184,"-22.8216667","-43.34055559999999"
Alto da Boa Vista,761,"-22.962984","-43.262019"
Anchieta,5338,"-22.8211111","-43.3958333"
Anil,7406,"-22.9544444","-43.34"
Bancários,1577,"-22.7959138","-43.175927"
Bangu,24175,"-22.883333","-43.466667"
Barra da Tijuca,7251,"-23","-43.3658333"
Barra de Guaratiba,886,"-23.0666667","-43.5666667"
Barros Filho,226,"-22.8333333","-43.3666667"
Benfica,2081,"-22.8925","-43.23999999999999"
Bento Ribeiro,1204,"-22.8672222","-43.3608333"
Bonsucesso,8085,"-22.8630556","-43.2530556"
Botafogo,1605,"-22.95334","-43.19"
Cachambi,2405,"-22.8833333","-43.2833333"
Caju,3514,"-22.88","-43.2205556"
Camorim,1691,"-22.9658333","-43.43888889999999"
Campinho,632,"-22.8858333","-43.3475"
Campo Grande,37952,"-22.8825","-43.5625"
Cascadura,3202,"-22.8853305","-43.3318801"
Catete,311,"-22.9261111","-43.1791667"
Catumbi,1190,"-22.9180556","-43.1969444"
Cavalcanti,2448,"-22.8711111","-43.3166667"
Centro,3260,"-22.9088923","-43.1771378"
Cidade Nova,1953,"-22.91","-43.2025"
Cidade Universitária,268,"-22.85","-43.2333333"
Cidade de Deus,5278,"-22.9483194","-43.3632472"
Cocotá,449,"-22.803838","-43.1807701"
Coelho Neto,3606,"-22.8305556","-43.3505556"
Colégio,1907,"-22.8407774","-43.34032879999999"
Copacabana,3495,"-22.9670333","-43.1806972"
Cordovil,4534,"-22.8220987","-43.2932393"
Cosme Velho,166,"-22.9411099","-43.201011"
Cosmos,6450,"-22.9166667","-43.6166667"
Costa Barros,2293,"-22.8238533","-43.369285"
Curicica,5547,"-22.95305","-43.385805"
Del Castilho,2727,"-22.8779276","-43.2690736"
Deodoro,1188,"-22.855","-43.3852778"
Encantado,543,"-22.8958333","-43.3022222"
Engenho Novo,1463,"-22.9086111","-43.2675"
Engenho da Rainha,2748,"-22.8602414","-43.2932393"
Engenho de Dentro,4036,"-22.9","-43.3"
Estácio,798,"-22.9166667","-43.2"
Flamengo,341,"-22.9335","-43.17447"
Freguesia (Jacarepaguá),3263,"-22.9250244","-43.3342942"
Galeão,2385,"-22.8091667","-43.2380556"
Gardênia Azul,1007,"-22.9666667","-43.35"
Glória,982,"-22.9208333","-43.1736111"
Guadalupe,5698,"-22.8372222","-43.3752778"
Guaratiba,10127,"-22.9984858","-43.5799151"
Gávea,2345,"-22.9831271","-43.2400595"
Higienópolis,4015,"-22.8736111","-43.26277779999999"
Honório Gurgel,1548,"-22.8469844","-43.357222"
Humaitá,785,"-22.956457","-43.202963"
Inhoaíba,6607,"-22.9127679","-43.5943255"
Ipanema,1338,"-22.9838194","-43.2045278"
Irajá,11132,"-22.8311111","-43.3236111"
Itanhangá,1315,"-22.9869444","-43.30500000000001"
Jacarezinho,668,"-22.8869444","-43.2602778"
Jacaré,997,"-22.8916667","-43.2572222"
Jardim Botânico,949,"-22.9666667","-43.2166667"
Jardim Carioca,800,"-22.8","-43.2"
Jardim Guanabara,1445,"-22.8116667","-43.2036111"
Jardim Sulacap,1524,"-22.8958865","-43.3921967"
Lagoa,673,"-22.97633","-43.20966"
Laranjeiras,1409,"-22.9378","-43.1910"
Leblon,2600,"-22.9835611","-43.2221611"
Leme,544,"-22.9622222","-43.1666667"
Lins de Vasconcelos,2865,"-22.9133333","-43.2847222"
Madureira,2978,"-22.8741673","-43.3367082"
Magalhães Bastos,2411,"-22.871868","-43.4138928"
Mangueira,383,"-22.9036111","-43.2388889"
Manguinhos,2500,"-22.8791667","-43.2458333"
Maracanã,983,"-22.9096786","-43.2313351"
Marechal Hermes,3896,"-22.8666667","-43.3666667"
Maria da Graça,910,"-22.8833333","-43.26666669999999"
Maré,12096,"-22.8588889","-43.2430556"
Moneró,1878,"-22.7957684","-43.197717"
Olaria,6820,"-22.8488889","-43.26666669999999"
Oswaldo Cruz,2833,"-22.8740377","-43.3511894"
Paciência,13650,"-22.89914","-43.632318"
Padre Miguel,8808,"-22.8833333","-43.45"
Paquetá,405,"-22.7597222","-43.1088889"
Parada de Lucas,1352,"-22.8166667","-43.3"
Parque Anchieta,2872,"-22.8333333","-43.41666670000001"
Parque Colúmbia,817,"-22.8137544","-43.3427425"
Pavuna,11818,"-22.8136111","-43.3602778"
Pechincha,1670,"-22.9295821","-43.35601550000001"
Pedra de Guaratiba,7398,"-23","-43.6333333"
Penha,6138,"-22.8369444","-43.2777778"
Penha Circular,3407,"-22.8352778","-43.2858333"
Piedade,3056,"-22.8930556","-43.3125"
Pilares,2187,"-22.8776825","-43.2980711"
Pitangueiras,398,"-22.8181592","-43.1807701"
Portuguesa,1235,"-22.7988923","-43.20618839999999"
Praia da Bandeira,548,"-22.8106048","-43.1801647"
Praça Seca,4927,"-22.9","-43.35"
Praça da Bandeira,570,"-22.9102021","-43.2122385"
Ramos,4148,"-22.8480556","-43.25777780000001"
Realengo,14350,"-22.8833333","-43.4333333"
Recreio dos Bandeirantes,1638,"-23.019581","-43.479233"
Riachuelo,897,"-22.9027778","-43.2555556"
Ricardo de Albuquerque,1958,"-22.8324064","-43.38978540000001"
Rio Comprido,2709,"-22.9261203","-43.2110285"
Rocha,1664,"-22.8986111","-43.2497222"
Rocha Miranda,5643,"-22.85","-43.35"
Rocinha,1654,"-22.9886111","-43.2466667"
Sampaio,67,"-22.9008333","-43.2605556"
Santa Cruz,32379,"-22.9202778","-43.685"
Santa Teresa,1381,"-22.9452106","-43.2110285"
Santo Cristo,1404,"-22.9008333","-43.205"
Santíssimo,4211,"-22.883333","-43.516667"
Saúde,310,"-22.8976866","-43.1856126"
Senador Camará,8711,"-22.8666667","-43.5"
Senador Vasconcelos,1932,"-22.9","-43.5333333"
Sepetiba,5499,"-22.966667","-43.7"
São Conrado,1145,"-23","-43.26666669999999"
Tanque,1568,"-22.9161111","-43.3558333"
Taquara,11430,"-22.9222222","-43.3880556"
Tauá,1017,"-22.7975","-43.18555560000001"
Tijuca,6606,"-22.9306453","-43.2400595"
Todos os Santos,441,"-22.8952778","-43.285"
Tomás Coelho,425,"-22.8688697","-43.3065255"
Turiaçu,1139,"-22.8613889","-43.3438889"
Urca,1203,"-22.9547694","-43.16655830000001"
Vargem Grande,2180,"-22.9761111","-43.4941667"
Vargem Pequena,1584,"-22.9805556","-43.4636111"
Vicente de Carvalho,984,"-22.8569444","-43.3172222"
Vidigal,1049,"-22.993663","-43.242486"
Vigário Geral,2955,"-22.8075","-43.3102778"
Vila Isabel,3692,"-22.9166667","-43.25"
Vila Kosmos,1858,"-22.8536111","-43.3036111"
Vila Militar,692,"-22.865","-43.4027778"
Vila Valqueire,2094,"-22.8833333","-43.3666667"
Vila da Penha,2181,"-22.8441891","-43.3125635"
Vista Alegre,1664,"-22.8308333","-43.31611110000001"
Zumbi,636,"-22.8211111","-43.1755556"
Água Santa,1169,"-22.9122222","-43.3102778"

