Ano Letivo,CRE,Código da série,Descrição da séria,Total de Avaliados,Total de Aprovados,Total de Reprovados,% Aprovados,% Frequencia
2013,01,61,1º Ano,2215,2099,116,94.8,90.6
2013,01,62,2º Ano,2168,2095,73,96.6,91.7
2013,01,63,3º Ano,2721,2207,514,81.1,92.2
2013,01,64,4º Ano,2502,2166,336,86.6,92.6
2013,01,65,5º Ano,2162,2000,162,92.5,93
2013,01,66,6º Ano,2667,2251,416,84.4,93.4
2013,01,67,7º Ano,2228,2011,217,90.3,93.2
2013,01,68,8º Ano,1925,1736,189,90.2,93
2013,01,69,9º Ano,1565,1507,58,96.3,93.2
2013,01,76,4º Ano - NCM,171,94,77,55,90.6
2013,01,77,7º Ano - NJM,412,344,68,83.5,89.2
2013,01,81,Realfabetização 1,444,264,180,59.5,88.3
2013,01,83,Realfabetização 2,65,51,14,78.5,87.8
2013,01,84,Aceleração 1,195,143,52,73.3,88.1
2013,01,87,Aceleração 2A,129,128,1,99.2,96.1
2013,01,89,Aceleração 3,204,198,6,97.1,97.6
2013,01,99,Total,21773,19294,2479,88.6,92.4
