ç
Ano Letivo,CRE,Código da série,Descrição da séria,Total de Avaliados,Total de Aprovados,Total de Reprovados,% Aprovados,% Frequencia
2013,04,61,1º Ano,5475,5282,193,96.5,92
2013,04,62,2º Ano,5528,5362,166,97,92.8
2013,04,63,3º Ano,6379,4972,1407,77.9,93.2
2013,04,64,4º Ano,6330,5491,839,86.7,93.4
2013,04,65,5º Ano,6280,5764,516,91.8,93.7
2013,04,66,6º Ano,7484,5584,1900,74.6,93.3
2013,04,67,7º Ano,5658,4693,965,82.9,93.8
2013,04,68,8º Ano,5037,4174,863,82.9,92.6
2013,04,69,9º Ano,4424,4079,345,92.2,93.4
2013,04,76,4º Ano - NCM,1030,568,462,55.1,91.5
2013,04,77,7º Ano - NJM,1201,999,202,83.2,88.6
2013,04,81,Realfabetização 1,506,300,206,59.3,88.9
2013,04,83,Realfabetização 2,73,45,28,61.6,82.7
2013,04,84,Aceleração 1,140,107,33,76.4,85.8
2013,04,87,Aceleração 2A,226,199,27,88.1,96.1
2013,04,89,Aceleração 3,415,400,15,96.4,96.7
2013,04,99,Total,56186,48019,8167,85.5,92.7
